Number,Song,Artist,Release Year,Album,Genre
1,Back In Black,AC/DC,1980,Back In Black,Hard Rock
2,Thunderstruck,AC/DC,1990,The Razors Edge,Hard Rock
3,You Shook Me All Night Long,AC/DC,1980,Back In Black,Hard Rock
4,Whole Lotta Rosie,AC/DC,1977,Let There Be Rock,Hard Rock
5,Highway To Hell,AC/DC,1979,Highway To Hell,Hard Rock
6,Hells Bells,AC/DC,1980,Back In Black,Hard Rock
7,It's A Long Way To The Top,AC/DC,1976,High Voltage,Hard Rock
8,Rock and Roll Ain't Noise Pollution,AC/DC,1980,Back In Black,Hard Rock
9,Shoot To Thrill,AC/DC,1980,Back In Black,Hard Rock
10,Let There Be Rock,AC/DC,1977,Let There Be Rock,Hard Rock
